stock_code,short_name,board,status,yaml_financial,eval_financial,schema_profile,profile_schema_profile,field_count,found_count,proxy_plausible_count,proxy_plausible_ratio,source_url,suspicion_flags
601628,中国人寿,sse_main,ok,True,True,insurer,insurer,12,10,10,0.8333,http://static.cninfo.com.cn/finalpage/2025-03-27/1222910598.PDF,
601658,邮储银行,sse_main,ok,True,True,bank,bank,13,9,9,0.6923,http://static.cninfo.com.cn/finalpage/2025-03-28/1222927886.PDF,
601665,齐鲁银行,sse_main,ok,True,True,bank,bank,13,11,11,0.8462,http://static.cninfo.com.cn/finalpage/2025-04-26/1223315119.PDF,
601688,华泰证券,sse_main,ok,True,True,broker,broker,12,6,6,0.5,http://static.cninfo.com.cn/finalpage/2025-03-29/1222949445.PDF,
601696,中银证券,sse_main,ok,True,True,broker,broker,12,8,8,0.6667,http://static.cninfo.com.cn/finalpage/2025-04-30/1223421823.PDF,
601788,光大证券,sse_main,ok,True,True,broker,broker,12,9,9,0.75,http://static.cninfo.com.cn/finalpage/2025-03-28/1222930041.PDF,
601818,光大银行,sse_main,ok,True,True,bank,bank,13,11,11,0.8462,http://static.cninfo.com.cn/finalpage/2025-03-29/1222947763.PDF,
601825,沪农商行,sse_main,ok,True,True,bank,bank,13,6,6,0.4615,http://static.cninfo.com.cn/finalpage/2025-04-25/1223285577.PDF,
601838,成都银行,sse_main,ok,True,True,bank,bank,13,11,11,0.8462,http://static.cninfo.com.cn/finalpage/2025-04-29/1223384734.PDF,
601860,紫金银行,sse_main,ok,True,True,bank,bank,13,9,9,0.6923,http://static.cninfo.com.cn/finalpage/2025-04-25/1223278035.PDF,
601878,浙商证券,sse_main,ok,True,True,broker,broker,12,5,5,0.4167,http://static.cninfo.com.cn/finalpage/2025-04-11/1223057398.PDF,
601901,方正证券,sse_main,ok,True,True,broker,broker,12,11,11,0.9167,http://static.cninfo.com.cn/finalpage/2025-03-29/1222947770.PDF,
